time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-07-01 00:00:00+00:00,11.0,6.0,17.0,1.0
2021-07-02 00:00:00+00:00,13.0,5.0,7.0,1.0
2021-07-03 00:00:00+00:00,7.0,5.0,8.0,1.0
2021-07-04 00:00:00+00:00,6.0,4.0,1.0,1.0
2021-07-05 00:00:00+00:00,8.0,6.0,9.0,3.0
2021-07-06 00:00:00+00:00,7.0,5.0,,
2021-07-07 00:00:00+00:00,6.0,4.0,39.0,2.0
2021-07-08 00:00:00+00:00,5.0,3.0,,
2021-07-09 00:00:00+00:00,7.0,5.0,,
2021-07-10 00:00:00+00:00,6.0,4.0,,
2021-07-11 00:00:00+00:00,7.0,5.0,18.0,4.0
2021-07-12 00:00:00+00:00,11.0,3.0,,
2021-07-13 00:00:00+00:00,6.0,4.0,15.0,1.0
2021-07-14 00:00:00+00:00,,,18.0,2.0
