time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-06-18 00:00:00+00:00,1,1,13,7
2021-06-19 00:00:00+00:00,0,0,2,2
2021-06-22 00:00:00+00:00,0,0,14,4
2021-06-25 00:00:00+00:00,0,0,2,1
2021-06-27 00:00:00+00:00,0,0,4,1
2021-06-28 00:00:00+00:00,0,0,1,1
2021-06-29 00:00:00+00:00,6,1,0,0
2021-06-30 00:00:00+00:00,31,14,54,3
2021-07-01 00:00:00+00:00,11,6,17,1
2021-07-02 00:00:00+00:00,13,5,7,1
2021-07-03 00:00:00+00:00,7,5,8,1
2021-07-04 00:00:00+00:00,6,4,1,1
2021-07-05 00:00:00+00:00,8,6,9,3
2021-07-06 00:00:00+00:00,7,5,0,0
2021-07-07 00:00:00+00:00,6,4,39,2
2021-07-08 00:00:00+00:00,5,3,0,0
2021-07-09 00:00:00+00:00,7,5,0,0
2021-07-10 00:00:00+00:00,6,4,0,0
2021-07-11 00:00:00+00:00,7,5,18,4
2021-07-12 00:00:00+00:00,11,3,0,0
2021-07-13 00:00:00+00:00,6,4,15,1
2021-07-14 00:00:00+00:00,7,5,18,2
2021-07-15 00:00:00+00:00,7,5,2,1
2021-07-16 00:00:00+00:00,5,3,0,0
2021-07-17 00:00:00+00:00,9,7,0,0
2021-07-18 00:00:00+00:00,5,3,0,0
2021-07-19 00:00:00+00:00,5,3,13,1
2021-07-20 00:00:00+00:00,5,3,1,1
2021-07-21 00:00:00+00:00,4,2,0,0
2021-07-22 00:00:00+00:00,9,4,23,1
2021-07-23 00:00:00+00:00,8,6,2,2
2021-07-24 00:00:00+00:00,6,4,0,0
2021-07-25 00:00:00+00:00,5,3,2,2
2021-07-26 00:00:00+00:00,4,2,0,0
2021-07-27 00:00:00+00:00,8,6,0,0
2021-07-28 00:00:00+00:00,6,4,4,2
2021-07-29 00:00:00+00:00,5,3,0,0
2021-07-30 00:00:00+00:00,6,4,5,2
2021-07-31 00:00:00+00:00,9,7,2,1
2021-08-01 00:00:00+00:00,6,4,30,1
2021-08-02 00:00:00+00:00,9,7,12,2
2021-08-03 00:00:00+00:00,4,2,0,0
2021-08-04 00:00:00+00:00,4,2,0,0
2021-08-05 00:00:00+00:00,17,7,27,3
2021-08-06 00:00:00+00:00,29,4,3,3
2021-08-07 00:00:00+00:00,29,11,53,2
2021-08-08 00:00:00+00:00,5,3,1,1
2021-08-09 00:00:00+00:00,6,4,1,1
2021-08-10 00:00:00+00:00,6,4,4,2
2021-08-11 00:00:00+00:00,0,0,14,2
