time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-05 00:00:00+00:00,7.0,3.0,6.0,1.0
2021-10-06 00:00:00+00:00,6.0,2.0,,
2021-10-07 00:00:00+00:00,8.0,4.0,,
2021-10-08 00:00:00+00:00,10.0,6.0,,
2021-10-09 00:00:00+00:00,9.0,5.0,,
2021-10-10 00:00:00+00:00,8.0,4.0,,
2021-10-11 00:00:00+00:00,8.0,4.0,6.0,2.0
2021-10-12 00:00:00+00:00,8.0,4.0,3.0,1.0
2021-10-13 00:00:00+00:00,9.0,3.0,11.0,2.0
2021-10-14 00:00:00+00:00,9.0,5.0,13.0,4.0
2021-10-15 00:00:00+00:00,7.0,3.0,3.0,3.0
2021-10-16 00:00:00+00:00,7.0,3.0,,
2021-10-17 00:00:00+00:00,6.0,2.0,,
2021-10-18 00:00:00+00:00,,,25.0,2.0
