time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-08-02 00:00:00+00:00,9,7,12,2
2021-08-03 00:00:00+00:00,4,2,0,0
2021-08-04 00:00:00+00:00,4,2,0,0
2021-08-05 00:00:00+00:00,17,7,27,3
2021-08-06 00:00:00+00:00,29,4,3,3
2021-08-07 00:00:00+00:00,29,11,53,2
2021-08-08 00:00:00+00:00,5,3,1,1
2021-08-09 00:00:00+00:00,6,4,1,1
2021-08-10 00:00:00+00:00,6,4,4,2
2021-08-11 00:00:00+00:00,7,5,14,2
2021-08-12 00:00:00+00:00,5,3,0,0
2021-08-13 00:00:00+00:00,6,4,52,6
2021-08-14 00:00:00+00:00,7,5,0,0
2021-08-15 00:00:00+00:00,9,7,3,1
2021-08-16 00:00:00+00:00,6,4,0,0
2021-08-17 00:00:00+00:00,6,4,7,3
2021-08-18 00:00:00+00:00,7,5,1,1
2021-08-19 00:00:00+00:00,6,4,0,0
2021-08-20 00:00:00+00:00,7,5,3,3
2021-08-21 00:00:00+00:00,6,4,2,2
2021-08-22 00:00:00+00:00,6,4,6,1
2021-08-23 00:00:00+00:00,5,3,0,0
2021-08-24 00:00:00+00:00,5,3,2,1
2021-08-25 00:00:00+00:00,8,6,0,0
2021-08-26 00:00:00+00:00,4,2,9,2
2021-08-27 00:00:00+00:00,7,5,0,0
2021-08-28 00:00:00+00:00,5,3,0,0
2021-08-29 00:00:00+00:00,4,2,0,0
2021-08-30 00:00:00+00:00,6,4,0,0
2021-08-31 00:00:00+00:00,5,3,0,0
2021-09-01 00:00:00+00:00,4,2,0,0
2021-09-02 00:00:00+00:00,6,4,0,0
2021-09-03 00:00:00+00:00,12,4,1,1
2021-09-04 00:00:00+00:00,5,3,6,2
2021-09-05 00:00:00+00:00,4,2,0,0
2021-09-06 00:00:00+00:00,6,4,1,1
2021-09-07 00:00:00+00:00,4,2,0,0
2021-09-08 00:00:00+00:00,5,3,0,0
2021-09-09 00:00:00+00:00,4,2,0,0
2021-09-10 00:00:00+00:00,4,2,3,3
2021-09-11 00:00:00+00:00,8,6,0,0
2021-09-12 00:00:00+00:00,5,3,2,1
2021-09-13 00:00:00+00:00,5,3,1,1
2021-09-14 00:00:00+00:00,6,4,2,2
2021-09-15 00:00:00+00:00,7,5,0,0
2021-09-16 00:00:00+00:00,5,3,0,0
2021-09-17 00:00:00+00:00,8,6,0,0
2021-09-18 00:00:00+00:00,6,4,0,0
2021-09-19 00:00:00+00:00,6,4,3,2
2021-09-20 00:00:00+00:00,7,5,1,1
2021-09-21 00:00:00+00:00,7,5,0,0
2021-09-22 00:00:00+00:00,4,2,0,0
2021-09-23 00:00:00+00:00,30,7,194,5
2021-09-24 00:00:00+00:00,8,4,0,0
2021-09-25 00:00:00+00:00,7,3,2,2
2021-09-26 00:00:00+00:00,8,4,2,2
2021-09-27 00:00:00+00:00,7,3,1,1
2021-09-28 00:00:00+00:00,6,2,11,3
2021-09-29 00:00:00+00:00,9,5,5,3
2021-09-30 00:00:00+00:00,8,4,0,0
2021-10-01 00:00:00+00:00,8,4,0,0
2021-10-02 00:00:00+00:00,9,5,0,0
2021-10-03 00:00:00+00:00,8,4,2,2
2021-10-04 00:00:00+00:00,8,4,2,1
2021-10-05 00:00:00+00:00,7,3,6,1
2021-10-06 00:00:00+00:00,6,2,0,0
2021-10-07 00:00:00+00:00,8,4,0,0
2021-10-08 00:00:00+00:00,10,6,0,0
2021-10-09 00:00:00+00:00,9,5,0,0
2021-10-10 00:00:00+00:00,8,4,0,0
2021-10-11 00:00:00+00:00,8,4,6,2
2021-10-12 00:00:00+00:00,8,4,3,1
2021-10-13 00:00:00+00:00,9,3,11,2
2021-10-14 00:00:00+00:00,9,5,13,4
2021-10-15 00:00:00+00:00,7,3,3,3
2021-10-16 00:00:00+00:00,7,3,0,0
2021-10-17 00:00:00+00:00,6,2,0,0
2021-10-18 00:00:00+00:00,8,4,25,2
2021-10-19 00:00:00+00:00,16,2,5,1
2021-10-20 00:00:00+00:00,27,6,0,0
2021-10-21 00:00:00+00:00,31,6,55,3
2021-10-22 00:00:00+00:00,33,4,21,1
2021-10-23 00:00:00+00:00,13,4,9,3
2021-10-24 00:00:00+00:00,9,3,0,0
2021-10-25 00:00:00+00:00,14,3,7,1
2021-10-26 00:00:00+00:00,13,3,23,2
2021-10-27 00:00:00+00:00,11,5,26,3
2021-10-28 00:00:00+00:00,6,2,1,1
2021-10-29 00:00:00+00:00,8,4,1,1
2021-10-30 00:00:00+00:00,9,5,0,0
2021-10-31 00:00:00+00:00,8,4,2,1
2021-11-01 00:00:00+00:00,8,4,1,1
2021-11-02 00:00:00+00:00,7,3,20,2
2021-11-03 00:00:00+00:00,0,0,1,1
